"Listing"

"WFR Listing"
"Created 09 March 2022 19:37"


"CVN","Bale Capacity (cu m)","Post Panamax (Ind)","Post Panamax Old Locks (Ind)","SOx Scrubber 1 Retrofit Indicator","Demo Buyer","Stock Exchange","Panama NT","Suez NT","P and I Club
","Air Draft From Keel","Last Hull Survey Date","EST Number (Energy Saving Technologies)","EST Detail (Energy Saving Technologies)","Hull Survey Due Date","Consumption (tpd)","Deballast Cap (cu m/h)","CGT","LBP (m)","Gear (Ind)","ConBulk","Pool Operator","Manager","Manager Country/Region","Operator Group","Operator Nationality/Region","Eco-Speed - Laden (knots)","Eco-Speed - Ballast (knots)","Main Consumption at Laden Speed (tpd)","Main Consumption at Ballast Speed (tpd)","Main Consumption at Eco-Speed Laden (tpd)","Main Consumption at Eco-Speed Ballast (tpd)","Australia Fitted Ind","Builder Country/Region","Operator Country/Region","Homogeneous TEU","Demo Location","Manager Group","Original Builder","Original Builder Group"
13096515,,,,,,,,,"Gard P&I",,"18-Feb-2018",,,"06-Feb-2023",24,,11931.34,141.52,"Y",,,"Tom Worden Schiffs","Germany","MSC","Italy",,,,,,,,"Canada","Switzerland",800,,"Tom Worden Schiffs","Irving SB (St John)","Irving Shipbuilding"
13096649,,,,,"As is Khor Fakkan",,,,,,"03-Jun-2015",,,"03-Jun-2020",47,,11931.34,141.52,"Y",,,"Tom Worden Schiffs","Germany",,,,,,,,,,"Canada",,815,"India","Tom Worden Schiffs","Irving SB (St John)","Irving Shipbuilding"
13101231,,,,,"Private terms","NYSE",,21604,,,"16-May-2014",,,"16-May-2019",83,,18899.44,195,"Y",,,"V. Ships (Greece)","Greece","MSC","Italy",,,,,,,,"Germany","Switzerland",1889,"India","V. Group","Warnowwerft","Aker Yards Germany"
13101365,,,,,,,,,"Gard P&I",,"16-Sep-2019",,,"31-May-2024",83,,18948.10,197.09,"Y",,,"Transeste Schiffahrt","Germany","DP World","U.A.E.",,,,,,,,"Germany","Singapore",1870,,"Transeste Schiffahrt","Warnowwerft","Aker Yards Germany"
13105497,,,,,,,,,"West of England P&I",,"24-Jun-2019",,,"30-Jun-2024",35,,9329.57,120.4,"Y",,,"Armin Klingenberg","Germany","CMA CGM","France",,,,,,,,"China P.R.","France",554,,"Armin Klingenberg","CSC Qingshan SY","China Merchants"
13106865,,,"Y","Y",,"Taiwan",,62008,"Gard P&I",,"22-May-2020",,,"31-Mar-2025",201,,37172.52,268,"N",,,"Evergreen Marine","Taiwan","Evergreen Marine","Taiwan",,,,,,,,"Japan","Taiwan",,,"Evergreen Marine","MHI Kobe","Mitsubishi HI"
13112545,,,,,,,,,"Standard Club P&I",,"24-Sep-2019",,,"30-Oct-2024",44,,14674.84,117,"Y",,,"PIL","Singapore","PIL","Singapore",,,,,,,,"Japan","Singapore",1200,,"PIL","Shin Kurushima","Shin Kurushima Group"
13112703,,,,,,,,,"Hydor",,"08-Aug-2019",,,"08-Aug-2024",,,3988.61,84.95,"N",,,"Amer Albehar","Iraq","Amer Albehar","Iraq",,,,,,,,"Netherlands","Iraq",190,,"Amer Albehar","Niestern Sander","Niestern Sander"
13113171,,,,,"Turkey",,,,,,"04-Apr-2015",,,"04-Apr-2020",53,,14191.12,171.94,"Y",,,"NSB Niederelbe","Germany","CMA CGM","France",,,,,,,,"Poland","France",1120,"Turkey","NSB Niederelbe","Szczecin Shipyard","Szczecin Shipyard"
13113621,,,,,,,,,"Standard Club P&I",,"04-Jul-2019",1,"1 x PBCF - Propeller Boss Cap Fin - MMG MMG-escap® - 2017 installation year","31-Jan-2024",120,,25868.83,244,"N",,,"Med Shpg Co","Italy","MSC","Italy",,,,,,,,"South Korea","Switzerland",,,"MSC","HHIC (Yeongdo)","HHIC (Yeongdo)"
13113755,,,,,,,,,"Standard Club P&I",,"17-Aug-2019",1,"1 x PBCF - Propeller Boss Cap Fin - MMG MMG-escap® - 2016 installation year","30-Apr-2024",152,,25868.83,244,"N",,,"Med Shpg Co","Italy","MSC","Italy",,,,,,,,"South Korea","Switzerland",,,"MSC","HHIC (Yeongdo)","HHIC (Yeongdo)"
