"Listing"

"WFR Listing"
"Created 09 March 2022 19:30"


"CVN","Builder","GT","Year Rebuilt Convert","Old Type","Main Bunker Capacity (m3)","TEU","FEU Total Cap","Launch Date","Operational Speed (knots)","TPC","NT","Owner Main Vessel Type","SOx Scrubber 1 Retrofit Date","Max TEU in Holds","Max TEU on Deck","Alternative Name","Ballast Cap (cu m)","Propulsor Detail","Crew Total No","Public Listed Company","Financial Lessor Owner","Alternative Fuel Types","Cargo Interests Company","State Interests Company","Private Equity Company","Joint Venture Company (Owner)","Hull No","Registered Owner Company","Group Owner Country/Region","Great Lakes Only","Call Sign","Age Scrapped","Fleet Type","Sister Vessel Code","Owner Size","Group Owner Nationality/Region"
12826825,"Flensburger SB",28892,,,3090,2480,,,12.82,,11213,"Container",,,,"MSC Lara",12401,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",24,,,,,,,,"685","Lara Oceanway Ltd.","Switzerland",,"HPUD",,"Containerships",,"Extra Large (100+)","Italy"
12826959,"Flensburger SB",28892,,,3090,2480,,,13.77,,11213,"Container",,,,"MSC Eleonora",12401,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",25,,,,,,,,"686","Compania Naviera Beijing SA","Switzerland",,"HPVY",,"Containerships",,"Extra Large (100+)","Italy"
12827035,"Warnowwerft",14849,,,1365,1468,724,"11-Jun-1993",,,7642,,,534,934,"Pathein Star",5408,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",,,,,,,,,"424","Pathein Star Pte. Ltd.","Singapore",,"A8CG2",24.92,"Containerships",,,"Singapore"
12827327,"Thyssen Nordsee",28892,,,,2480,,,12.54,,11251,"Container",,1064,1416,"Ze Hong",,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",24,,,,,"Y",,,"507","Shanghai Zhonggu Xinliang Shipping Co Ltd","China P.R.",,"BVKC8",,"Containerships",,"Very Small (1-5) ","China P.R."
12830219,"Hyundai HI (Ulsan)",29195,,,,2227,,,12,,17589,"Sub-Panamax Container",,1164,1063,"Xin Feng Ningbo",11909,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",,,,,,,,,"870",,"China P.R.",,"BLEJ",,"Containerships",,"Very Small (1-5) ","China P.R."
12831687,"Samsung HI",37398,,,4200,3424,,"17-Nov-1993",12.28,62.6,20334,"Container",,1366,2058,"MSC Sophie",11213,"1 x FP Propeller (Aft Centre) (mechanical), 102rpm",22,,,,,,,,"1106","Compania Naviera Sophie S.A.","Switzerland",,"3FKP7",,"Containerships",,"Extra Large (100+)","Italy"
12834059,"Daewoo (DSME)",64502,,,7445,4832,,,,90,33003,,,2452,2380,"Korea",,"1 x FP Propeller (Aft Centre) (mechanical), 104rpm",21,,"Y",,,,,,"4028","AMERICAN PRESIDENT LINES LLC CORPORATION SERVICE C","Unknown",,"TBA3289",24,"Containerships",76548,,"Unknown"
12834183,"Daewoo (DSME)",64502,,,7445,4832,,,,90,33003,,,2452,2380,"Singapore",,"1 x FP Propeller (Aft Centre) (mechanical), 104rpm",21,,"Y",,,,,,"4029","AMERICAN PRESIDENT LINES LLC CORPORATION SERVICE C","Unknown",,"T8A3288",23.75,"Containerships",76548,,"Unknown"
12834217,"Daewoo (DSME)",64502,,,7445,4832,,,,90,33003,,,2452,2380,"Pineza",,"1 x FP Propeller (Aft Centre) (mechanical), 104rpm",21,,"Y",,,,,,"4033","MARIANNA SHIPPING LTD.","Unknown",,,22.75,"Containerships",76548,,"Unknown"
12834341,"Howaldtswerke Werft",64502,,,7445,4832,,,15.92,90,33003,"Post-Panamax Container",,2452,2380,"APL China",,"1 x FP Propeller (Aft Centre) (mechanical), 104rpm",21,,,,,,,,"297","AMERICAN PRESIDENT LINES LLC CORPORATION SERVICE COMPANY","France",,"9HA4867",25,"Containerships",76548,"Large (21-50)","France"
