"Listing"

"WFR Listing"
"Created 16 February 2022 17:56"


"CVN","IMO Number","MMSI (Maritime Mobile Service Identity)","Type at Sale","Name at Sale","Dwt","Built","Builder","En. Bloc.","En. Bloc. No.","Sale Date","Currency","Price (Sale)","Buyers","Buyer Country/Region","Sellers","Seller Country/Region","Old Type","Demo Location","Year Rebuilt Convert","LDT","Demo $/LDT","Contract Date","Demo Date","Price (NB)","Currency (NB)","Gear (Ind)","Holds Total No","Hatches Total No","Strengthened for Ore","Grain Capacity (cu m)","Great Lakes Fitted","Great Lakes Only","Demo Buyer","Sale Teu Total Cap","Capacity (cu m)","Sale Dwt Tonnes","Sale Gt","Vessel Age At Sale"
16214002,9626924,373261000,"Bulk","Pacific Crown*",56469,2012,"Jiangsu New Hantong",,6475.01,"20-Dec-2021","USD",35,"Chinese interests","China P.R.","HI Gold Ocean No.3","South Korea",,,,,,"01-Feb-2011",,,,"Y",5,5,,71634,,,,,,56469,33057,9
16214028,9626948,373830000,"Bulk","Pacific Bless*",56361,2012,"Jiangsu New Hantong","#",6475.02,"20-Dec-2021",,,"Chinese interests","China P.R.","HI Gold Ocean No.3","South Korea",,,,,,"01-Feb-2011",,,,"Y",5,5,,71634,,,,,,56361,33057,9
16381742,,413597000,"Bulk","Hao Fan 5",18117,2009,"Taizhou Jinhaian",,,"18-Dec-2021","RMB",36.57,"Chinese interests","China P.R.","Zhejiang Haofan","China P.R.",,,,,,"01-Jan-2007",,,,"N",4,4,,,,,,,,18117,10751,12
16298686,9763693,255806292,"Bulk","Nordrubicon*",37985,2016,"Zhejiang Ouhua SB",,6476.01,"17-Dec-2021","USD",42.8,"Undisclosed interests","Unknown","Taylor Maritime","Hong Kong",,,,,,"26-Nov-2014",,,,"Y",5,5,,47936,,,,,,37985,23974,5
16298699,9763708,538009837,"Bulk","Nordcolorado*",37976,2016,"Zhejiang Ouhua SB","#",6476.02,"17-Dec-2021",,,"Undisclosed interests","Unknown","Taylor Maritime","Hong Kong",,,,,,"26-Nov-2014",,,,"Y",5,5,,47936,,,,,,37976,23974,5
16397785,9916977,352898822,"Bulk","Nord Adagio*",61200,2022,"Nantong COSCO KHI",,6474.01,"16-Dec-2021","USD",33.5,"Singaporean interests","Singapore","Norden A/S","Denmark",,,,,,"11-Aug-2020",,,,"Y",5,5,,77539,,,,,,61000,,0
16397769,9916965,563150500,"Bulk","Nord Arpeggio*",61236,2022,"Nantong COSCO KHI",,6474.02,"16-Dec-2021","USD",33.5,"Singaporean interests","Singapore","Norden A/S","Denmark",,,,,,"11-Aug-2020",,,,"Y",5,5,,77539,,,,,,61000,,0
15771865,9324150,311001124,"Bulk","Feronia",56058,2007,"Mitsui SB (Chiba)",,,"16-Dec-2021","USD",16.4,"Undisclosed interests","Unknown","TST Group","Greece",,,,8500,,"16-Jun-2004",,,,"Y",5,5,,70810,,"N",,,,56058,31247,14
16251728,9805673,563150600,"Bulk","Nord Columbia",60396,2018,"Oshima Shipbuilding",,,"15-Dec-2021","USD",32,"Unknown Singapore","Singapore","Norden A/S","Denmark",,,,,,"16-May-2013",,,,"Y",5,5,,76309,,,,,,60396,32241,3
12755895,9236080,209393000,"Bulk","UBC Sacramento*",31773,2001,"Saiki Hvy. Ind.",,6479.01,"15-Dec-2021","USD",21,"Undisclosed interests","Unknown","Intership Navigation","Germany",,,,7261,,"30-Jun-2000",,,,"Y",5,5,,41756,,"N",,,,31773,19746,20
