"variable","name","type","group","in_calc","source","calc_type","definition","description","unit","unit.abbr"
"t_over_t_ref_with_m_sum","Admiralty draft term","numnonneg","calc","directly","AIS+WFR","derived","$\sum (t/t_{\textit{ref}})^{0.66}$","Aggregation of draft term of (\ref{eqn:admiralty})",,
"t_over_t_ref_without_m_sum","Relative draft","numnonneg","calc","variant","AIS+WFR","derived","$\sum (t/t_{\textit{ref}})$","Aggregation of relative draft",,
"v_over_v_ref_with_n_sum","Admiralty speed term","numnonneg","calc","directly","AIS+WFR","derived","$\sum (v/v_{\textit{ref}})^{3}$","Aggregation of speed term of (\ref{eqn:admiralty})",,
"v_over_v_ref_without_n_sum","Relative speed","numnonneg","calc","variant","AIS+WFR","derived","$\sum (v/v_{\textit{ref}})$","Aggregation of relative speed",,
"cal_fc","Calculated fuel consumption","numnonneg","calc","directly","AIS+WFR","derived","per (\ref{eqn:annual_fc})","Theoretical fuel consumption","million tonnes","Mt"
"speed_mean","Average speed","numnonneg","activity","variant","AIS","aggregated",,"Average observed speed after interpolation","knots","kn"
"port_frac","At-port fraction","numnonneg","activity","no","AIS","aggregated",,"Fraction of hourly observations with operational phase ‘at-port’",,
"longest_jump","Longest distance",,"quality","no","AIS","aggregated",,"Longest distance between consecutive locations after interpolation","nautical miles","nm"
"missing_frac_sea","Interpolated fraction at-sea","numnonneg","quality","no","AIS","aggregated",,"Fraction of hourly observations with operational phase ‘at-sea’ that are interpolated",,
"age","Age","numnonneg","characteristic","no","MRV+WFR","raw",,"Age at observation","years","yrs"
"residual","Residual of log fuel consumption",,"calc",,"AIS+MRV","derived","\log(FC_{report})-\log(FC_{calc})","Log (log1p) reported fuel consumption minus log1p calculated fuel consumption",,
"log_report_fc","Log reported fuel consumption",,,,"MRV","raw",,"Log (log1p) reported fuel consumption",,
"log_cal_fc","Log annual calculated fuel consumption",,"calc",,"AIS","derived",,"Log (log1p) calculated fuel consumption",,
"distance_difference","Log annual reported fuel consumption",,"quality","no","AIS+MRV","derived",,,,
"distance_difference_rel",,,"quality","no","AIS+MRV","derived",,,,
"total_jump_distance","Infeasible distance","numnonneg","quality","no","AIS","aggregated",,"Sum of infeasible distances between consecutive locations after interpolation","nautical miles","nm"
"jump_distance_frac",,,"quality","no","AIS","aggregated",,,,
"within_tol_jumps",,,"quality","no","AIS","aggregated",,,,
"cubic_meter","Ship volume","numnonneg","characteristic","indirectly","WFR","derived","$\text{beam}\cdot\text{draft}\cdot\text{length}$","Rectangular volume of hull ","cubic meters","M^3"
"draught_mean","Average draft","numnonneg","activity","variant","AIS","aggregated",,"Average observed draft after interpolation","meters","m"
"t_m_times_v_n_squared_sum","Admiralty instantaneous term squared","numnonneg","calc","variant","AIS","derived","$(\sum t^{0.66} \cdot v^3)^2$","Aggregation of instantaneous term of (\ref{eqn:admiralty}) squared","$(\text{meters}^{0.66} \cdot \text{knots}^3)^2$",
"t_m_times_v_n_cubed_sum","Admiralty instantaneous term cubed","numnonneg","calc","variant","AIS","derived","$(\sum t^{0.66} \cdot v^3)^3$","Aggregation of instantaneous term of (\ref{eqn:admiralty}) cubed","$(\text{meters}^{0.66} \cdot \text{knots}^3)^3$",
"rel_power_ship_sum","Admiralty rel power","numnonneg","calc","variant","AIS+WFR","derived",,"Aggregation of relative power term of (\ref{eqn:admiralty})",,
"rel_power_ship_squared_sum","Admiralty rel power squared","numnonneg","calc","variant","AIS+WFR","derived",,"Aggregation of relative power term of (\ref{eqn:admiralty}) squared",,
"rel_power_ship_cubed_sum","Admiralty rel power cubed","numnonneg","calc","variant","AIS+WFR","derived",,"Aggregation of relative power term of (\ref{eqn:admiralty}) cubed",,
"ME_SFC_base_first","Main Engine Reference Specific Fuel Consumption","numnonneg","calc","directly","WFR","derived",,"Base value of fuel consumption rating of main engine as per IMO",,"g/kWh"
"speed_sea_mean","Average speed at sea","numnonneg","activity","no","AIS","aggregated",,,"knots","kn"
"speed_sea_var","Variance of speed at sea","numnonneg","activity","no","AIS","aggregated",,,"$\text{knots}^{2}$","kn^2"
"cal_fe","Calculated fuel efficiency","numnonneg","calc","directly","AIS+WFR","derived",,"Theoretical fuel efficiency","million tonnes/nautical mile","Mt/nm"
"report_fe","reported annual fuel efficiency","numnonneg",,,"MRV","raw",,,"million tonnes/nautical mile","Mt/nm"
"log_report_fe","Log reported fuel efficiency",,,,"MRV","raw",,"Log (log1p) reported fuel efficiency",,
"log_cal_fe","Log annual calculated fuel efficiency",,"calc",,"AIS","derived",,"Log (log1p) calculated fuel efficiency",,
"t_m_v_n_rel_sum","Structural linear term","numnonneg","calc","variant","AIS+WFR","derived","$\sum (t/t_{\textit{ref}})^{0.66}*v/v_{\textit{ref}})^{3}$","Aggregation of relative draft and speed",,
"t_m_v_n_rel_squared_sum","Structural squared term","numnonneg","calc","variant","AIS+WFR","derived","$\sum ((t/t_{\textit{ref}})^{0.66}*v/v_{\textit{ref}})^{3})^2$","Aggregation of relative draft and speed squared",,
"t_m_v_n_rel_cubed_sum","Structural cubed term","numnonneg","calc","variant","AIS+WFR","derived","$\sum ((t/t_{\textit{ref}})^{0.66}*v/v_{\textit{ref}})^{3})^3$","Aggregation of relative draft and speed cubed",,
